[2019-08-06 09:05:45] serial port receive: 7474
[2019-08-06 09:06:16] serial port receive: 31
[2019-08-06 09:06:16] serial port receive: 747431
[2019-08-06 09:06:16] serial port receive: 74
[2019-08-06 09:06:16] serial port receive: 74
[2019-08-06 09:06:16] serial port receive: 31
[2019-08-06 09:06:18] serial port receive: 74
[2019-08-06 09:06:18] serial port receive: 74
[2019-08-06 09:06:18] serial port receive: 31
[2019-08-06 09:30:31] serial port receive: 23
[2019-08-06 09:30:31] serial port receive: 23
[2019-08-06 09:30:31] serial port receive: 2A
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 21
[2019-08-06 09:30:31] serial port receive: 52
[2019-08-06 09:30:31] serial port receive: 04
[2019-08-06 09:30:31] serial port receive: 13
[2019-08-06 09:30:31] serial port receive: 08
[2019-08-06 09:30:31] serial port receive: 06
[2019-08-06 09:30:31] serial port receive: 09
[2019-08-06 09:30:31] serial port receive: 1E
[2019-08-06 09:30:31] serial port receive: 1F
[2019-08-06 09:30:31] serial port receive: 42
[2019-08-06 09:30:31] serial port receive: 30
[2019-08-06 09:30:31] serial port receive: 31
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 58
[2019-08-06 09:30:31] serial port receive: 42
[2019-08-06 09:30:31] serial port receive: 3B
[2019-08-06 09:30:31] serial port receive: 47
[2019-08-06 09:30:31] serial port receive: 30
[2019-08-06 09:30:31] serial port receive: 31
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 0C
[2019-08-06 09:30:31] serial port receive: 42
[2019-08-06 09:30:31] serial port receive: 3B
[2019-08-06 09:30:31] serial port receive: 48
[2019-08-06 09:30:31] serial port receive: 30
[2019-08-06 09:30:31] serial port receive: 31
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 44
[2019-08-06 09:30:31] serial port receive: 42
[2019-08-06 09:30:31] serial port receive: 3B
[2019-08-06 09:30:31] serial port receive: 4D
[2019-08-06 09:30:31] serial port receive: 30
[2019-08-06 09:30:31] serial port receive: 31
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: 00
[2019-08-06 09:30:31] serial port receive: B2
[2019-08-06 09:30:31] serial port receive: 42
[2019-08-06 09:30:31] serial port receive: FF
[2019-08-06 09:30:31] serial port receive: FF
[2019-08-06 09:30:31] serial port receive: 26
[2019-08-06 09:30:31] serial port receive: 26
[2019-08-06 09:30:51] serial port receive: 23
[2019-08-06 09:30:51] serial port receive: 23
[2019-08-06 09:30:51] serial port receive: 2A
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 21
[2019-08-06 09:30:51] serial port receive: 52
[2019-08-06 09:30:51] serial port receive: 04
[2019-08-06 09:30:51] serial port receive: 13
[2019-08-06 09:30:51] serial port receive: 08
[2019-08-06 09:30:51] serial port receive: 06
[2019-08-06 09:30:51] serial port receive: 09
[2019-08-06 09:30:51] serial port receive: 1E
[2019-08-06 09:30:51] serial port receive: 33
[2019-08-06 09:30:51] serial port receive: 42
[2019-08-06 09:30:51] serial port receive: 30
[2019-08-06 09:30:51] serial port receive: 31
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 5C
[2019-08-06 09:30:51] serial port receive: 42
[2019-08-06 09:30:51] serial port receive: 3B
[2019-08-06 09:30:51] serial port receive: 47
[2019-08-06 09:30:51] serial port receive: 30
[2019-08-06 09:30:51] serial port receive: 31
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 0C
[2019-08-06 09:30:51] serial port receive: 42
[2019-08-06 09:30:51] serial port receive: 3B
[2019-08-06 09:30:51] serial port receive: 48
[2019-08-06 09:30:51] serial port receive: 30
[2019-08-06 09:30:51] serial port receive: 31
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 00
[2019-08-06 09:30:51] serial port receive: 44
[2019-08-06 09:30:51] serial port receive: 42
[2019-08-06 09:30:51] serial port receive: 3B
