[2019-08-06 09:37:27] 操作已超时。
[2019-08-11 10:36:21] 端口“COM3”不存在。
[2019-08-11 10:40:00] 端口“COM3”不存在。
[2019-08-11 10:55:53] 端口“COM3”不存在。
[2019-08-11 11:02:28] 端口“COM3”不存在。
[2019-08-11 11:41:15] 端口“COM3”不存在。
[2019-08-11 11:42:26] 端口“COM3”不存在。
[2019-08-11 13:44:52] 端口“COM3”不存在。
[2019-08-11 13:46:52] 端口“COM3”不存在。
[2019-08-11 13:51:55] 端口“COM3”不存在。
[2019-08-11 13:58:32] 端口“COM3”不存在。
[2019-08-11 13:59:56] 端口“COM3”不存在。
[2019-08-11 14:00:33] 端口“COM3”不存在。
[2019-08-11 14:02:45] 端口“COM3”不存在。
[2019-08-11 14:04:33] 端口“COM3”不存在。
[2019-08-11 14:12:46] 端口“COM3”不存在。
